tenants,events,runs,input_generation_mean_ms,input_generation_std_ms,tlc_realtime_factor_mean,tlc_realtime_factor_std,end_to_end_factor_mean,end_to_end_factor_std,tlc_messages_mean,tlc_batches_mean,messages_per_batch,experiment_total_mean_ms,experiment_total_std_ms,tlc_duration_mean_ms,tlc_duration_std_ms,tlc_non_fetch_mean_ms,tlc_non_fetch_std_ms,tlc_non_fetch_per_message_mean_ms,tlc_non_fetch_per_message_std_ms
2,10,30,1046.500,188.604,1.263,0.473,7.375,1.516,15.767,1.267,12.447,7579.133,1251.389,7076.035,2495.511,1290.343,445.309,89.840,58.231
2,50,20,4364.000,1129.396,0.520,0.172,2.609,0.645,56.100,2.050,27.366,11017.150,2338.046,9738.259,3153.373,2180.234,622.310,38.658,9.769
2,100,10,8998.200,1158.964,0.366,0.077,1.763,0.186,107.100,3.000,35.700,15744.800,1621.099,13574.605,2416.055,3280.096,699.397,30.390,4.546
2,1000,10,86005.100,4406.926,0.305,0.020,1.073,0.018,1071.200,22.300,48.036,92302.500,4752.894,71149.933,5019.345,26206.267,1062.202,24.463,0.784
5,10,30,1627.300,213.923,0.867,0.310,4.751,0.677,13.567,1.300,10.436,7636.100,728.432,7330.853,2574.189,1386.137,456.535,103.183,26.530
5,50,20,4345.200,315.235,0.305,0.093,1.788,0.180,41.500,1.150,36.087,7724.900,468.428,6495.720,2140.295,1320.384,384.751,32.272,9.485
5,100,10,8758.800,906.899,0.312,0.045,1.621,0.159,82.500,2.400,34.375,14085.900,747.250,13218.946,2896.742,2730.526,500.437,33.050,5.464
5,1000,10,75264.700,2627.251,0.267,0.007,1.100,0.013,775.900,16.500,47.024,82783.700,3301.142,66235.139,2674.264,20069.672,684.812,25.888,0.831
10,10,30,2747.500,162.013,0.994,0.076,4.134,0.281,12.000,1.000,12.000,11364.033,1032.908,7292.328,166.562,2724.158,166.809,233.418,42.091
10,50,20,5754.950,709.929,0.541,0.119,2.110,0.286,36.600,1.050,34.857,12024.900,1370.077,7795.588,1167.470,3080.833,638.150,85.540,15.813
10,100,10,9454.000,800.868,0.651,0.069,2.064,0.136,68.700,2.000,34.350,19420.000,576.610,14229.395,594.270,6122.235,511.844,89.277,5.787
10,1000,10,78971.800,895.518,0.614,0.017,1.124,0.019,689.600,14.300,48.224,88718.800,1433.309,71025.357,1377.427,48484.242,1430.445,70.329,1.727
