tenants,events,run,tlc_batches,tlc_messages,tlc_fetch_ms_total,tlc_duration_ms_total,tlc_non_fetch_ms_total,tlc_fetch_ms_mean_batch,tlc_duration_ms_mean_batch,metrics_missing,experiment_info_missing,experiment_total_ms,input_generation_duration_ms,pipeline_drain_ms,audit_ingestion_grace_ms,audit_consumer_drain_ms,tlc_consumer_drain_ms,create_clusterrole,delete_clusterrole,create_rb,delete_rb,create_crb,delete_crb,cross_tenant_access
5,10,1,1,14,4580.827,5549.170,968.343,4580.827,5549.170,False,False,4120,1434,2383,,102,2277,0,2,2,1,1,0,4
5,10,2,2,16,9124.652,11161.191,2036.538,4562.326,5580.596,False,False,7587,1560,5723,,120,5599,1,0,0,1,2,3,3
5,10,3,2,12,9126.954,11177.611,2050.657,4563.477,5588.806,False,False,8355,1399,5671,,97,5570,1,0,0,4,0,1,4
5,10,4,1,11,4594.602,5712.249,1117.647,4594.602,5712.249,False,False,7660,1617,5731,,114,5612,1,0,1,3,0,0,5
5,10,5,1,15,4581.541,5672.168,1090.627,4581.541,5672.168,False,False,7703,1732,5680,,92,5584,2,0,2,3,1,0,2
5,10,6,1,15,4593.632,5718.821,1125.189,4593.632,5718.821,False,False,7834,1902,4595,,102,4490,1,0,4,1,1,1,2
5,10,7,1,13,4599.691,5790.455,1190.763,4599.691,5790.455,False,False,7850,1818,5690,,99,5587,1,1,3,1,0,0,4
5,10,8,1,13,4579.116,5674.827,1095.711,4579.116,5674.827,False,False,7650,1638,5699,,112,5582,1,0,1,2,2,1,3
5,10,9,1,20,4584.656,5707.753,1123.097,4584.656,5707.753,False,False,7861,1819,5722,,94,5623,2,0,3,0,1,0,4
5,10,10,1,10,4593.450,5754.994,1161.543,4593.450,5754.994,False,False,7652,1632,5693,,119,5570,0,0,1,2,1,0,6
5,10,11,1,12,4573.657,5603.205,1029.547,4573.657,5603.205,False,False,7404,2502,4549,,94,4451,0,0,2,3,1,0,4
5,10,12,1,16,4564.701,5668.690,1103.989,4564.701,5668.690,False,False,7677,1581,5769,,132,5631,1,0,1,0,3,1,4
5,10,13,1,11,4559.209,5601.398,1042.190,4559.209,5601.398,False,False,7557,1510,5702,,120,5577,0,1,3,2,0,0,4
5,10,14,2,14,9125.268,11129.965,2004.697,4562.634,5564.983,False,False,8436,1462,5675,,103,5568,1,1,0,2,1,1,4
5,10,15,1,10,4585.968,5689.345,1103.377,4585.968,5689.345,False,False,7532,1621,4609,,94,4511,2,0,0,2,1,0,5
5,10,16,1,15,4590.573,5724.418,1133.845,4590.573,5724.418,False,False,7658,1628,5712,,112,5596,0,2,3,3,0,0,2
5,10,17,1,14,4594.199,5681.181,1086.982,4594.199,5681.181,False,False,7720,1632,5730,,148,5576,1,1,3,1,1,1,2
5,10,18,1,11,4571.587,5643.080,1071.493,4571.587,5643.080,False,False,7630,1527,5751,,145,5600,1,2,2,1,1,1,2
5,10,19,1,11,4567.126,5679.100,1111.974,4567.126,5679.100,False,False,7582,1470,5746,,122,5619,0,2,1,3,1,1,2
5,10,20,1,9,4560.692,5597.113,1036.421,4560.692,5597.113,False,False,7406,1411,5682,,97,5581,0,1,1,3,0,0,5
5,10,21,2,16,9125.965,11110.134,1984.168,4562.983,5555.067,False,False,8479,1491,5672,,100,5567,0,1,2,0,1,1,5
5,10,22,1,11,4584.636,5678.661,1094.024,4584.636,5678.661,False,False,7584,1626,5656,,106,5546,0,2,2,1,1,1,3
5,10,23,1,9,4580.577,5656.343,1075.766,4580.577,5656.343,False,False,7410,1334,5745,,135,5605,0,4,0,1,0,1,4
5,10,24,1,12,4567.076,5697.514,1130.438,4567.076,5697.514,False,False,7788,1592,5777,,141,5631,0,3,4,2,0,0,1
5,10,25,1,11,4568.127,5663.643,1095.517,4568.127,5663.643,False,False,7649,1630,5702,,119,5577,0,1,2,1,1,0,5
5,10,26,2,16,9131.538,11173.883,2042.345,4565.769,5586.941,False,False,7519,1536,5675,,108,5562,1,1,2,1,0,0,5
5,10,27,2,16,9136.472,11393.076,2256.604,4568.236,5696.538,False,False,7926,1848,5766,,169,5594,2,1,3,0,1,0,3
5,10,28,2,21,9131.620,11250.991,2119.371,4565.810,5625.495,False,False,7750,1710,5727,,120,5602,0,1,4,0,2,0,3
5,10,29,2,19,9135.623,11192.681,2057.057,4567.811,5596.341,False,False,7637,1645,5694,,99,5591,3,0,0,1,2,1,3
5,10,30,2,14,9127.747,11171.922,2044.175,4563.873,5585.961,False,False,8467,1512,5663,,100,5559,2,1,0,4,0,0,3
5,50,1,1,41,4587.729,5800.581,1212.852,4587.729,5800.581,False,False,7294,4629,2368,,90,2274,5,3,8,11,4,2,17
5,50,2,2,40,9155.237,11359.319,2204.083,4577.619,5679.659,False,False,7883,4131,3460,,92,3364,4,3,8,10,3,6,16
5,50,3,2,42,9150.975,11394.311,2243.336,4575.487,5697.155,False,False,8144,4357,3481,,1192,2285,3,5,9,7,4,2,20
5,50,4,1,50,2598.540,3826.286,1227.745,2598.540,3826.286,False,False,6372,4811,206,,100,102,8,5,10,4,2,4,17
5,50,5,1,40,4581.900,5738.269,1156.369,4581.900,5738.269,False,False,7706,3896,3514,,89,3420,6,3,5,7,1,5,23
5,50,6,1,43,4580.926,5765.224,1184.298,4580.926,5765.224,False,False,8028,4328,2391,,102,2285,5,3,11,10,2,6,13
5,50,7,1,47,4592.035,5695.787,1103.753,4592.035,5695.787,False,False,7355,4649,2381,,104,2274,2,5,12,5,5,4,17
5,50,8,1,31,4599.394,5730.546,1131.152,4599.394,5730.546,False,False,7790,3966,3470,,95,3371,4,3,5,9,3,7,19
5,50,9,1,43,4594.483,5805.296,1210.813,4594.483,5805.296,False,False,8182,4383,2424,,115,2305,2,5,7,8,4,2,22
5,50,10,1,41,4600.677,5748.172,1147.495,4600.677,5748.172,False,False,7878,4187,2385,,97,2283,5,4,9,8,1,3,20
5,50,11,1,46,4588.888,5747.330,1158.442,4588.888,5747.330,False,False,8039,4354,2391,,105,2281,6,2,12,7,1,6,16
5,50,12,1,38,4579.572,5693.768,1114.196,4579.572,5693.768,False,False,7757,4082,2371,,91,2276,2,7,8,11,2,3,17
5,50,13,1,48,4574.050,5642.224,1068.174,4574.050,5642.224,False,False,6966,4270,2396,,99,2294,6,4,7,11,4,4,14
5,50,14,1,35,4590.863,5690.398,1099.535,4590.863,5690.398,False,False,7907,4118,3478,,102,3371,3,2,7,7,4,5,22
5,50,15,1,42,4576.025,5770.346,1194.321,4576.025,5770.346,False,False,7839,5111,2376,,94,2278,3,6,8,3,4,3,23
5,50,16,1,49,4584.217,5793.244,1209.027,4584.217,5793.244,False,False,8412,4651,2382,,103,2275,7,7,10,7,3,4,12
5,50,17,1,28,4596.299,5780.565,1184.266,4596.299,5780.565,False,False,7775,4046,2407,,98,2304,3,5,5,7,1,7,22
5,50,18,1,36,4607.447,5760.733,1153.286,4607.447,5760.733,False,False,7721,4003,2417,,97,2315,5,5,6,7,2,3,22
5,50,19,1,42,4613.630,5845.720,1232.089,4613.630,5845.720,False,False,7344,4603,2400,,97,2299,3,3,13,8,0,6,17
5,50,20,2,48,9153.831,11326.276,2172.445,4576.916,5663.138,False,False,8106,4329,3474,,97,3374,2,7,9,6,6,4,16
5,100,1,2,83,8087.525,10439.238,2351.712,4043.762,5219.619,False,False,13596,7533,5736,,127,5604,9,7,13,17,6,5,43
5,100,2,2,76,9148.033,11469.510,2321.478,4574.016,5734.755,False,False,14220,8203,5657,,94,5558,9,4,12,20,7,9,39
5,100,3,3,85,13408.252,16554.546,3146.293,4469.417,5518.182,False,False,14412,9533,4589,,1207,3377,3,9,20,15,6,9,38
5,100,4,2,78,9007.951,11387.382,2379.430,4503.976,5693.691,False,False,14387,9473,4580,,103,4472,9,10,15,16,5,5,40
5,100,5,3,80,12531.607,15724.222,3192.614,4177.202,5241.407,False,False,13161,9378,3478,,99,3374,12,8,12,13,6,7,42
5,100,6,3,82,13728.542,17083.078,3354.536,4576.181,5694.359,False,False,15420,9558,4570,,96,4470,11,5,16,15,3,9,41
5,100,7,2,83,9000.076,11257.116,2257.041,4500.038,5628.558,False,False,13319,9545,3474,,95,3374,3,4,18,13,9,4,49
5,100,8,3,90,13297.747,16800.880,3503.134,4432.582,5600.293,False,False,15055,9147,4606,,104,4497,11,6,15,18,8,5,37
5,100,9,2,87,8438.932,10882.137,2443.203,4219.466,5441.068,False,False,13740,7761,5657,,103,5549,5,8,24,11,4,5,43
5,100,10,2,81,8235.535,10591.350,2355.816,4117.767,5295.675,False,False,13549,7457,5755,,137,5612,8,4,13,11,10,14,40
5,1000,1,16,741,48700.842,68427.662,19726.821,3043.803,4276.729,False,False,86185,77909,6885,,137,6742,71,87,154,158,69,75,386
5,1000,2,17,799,47569.785,68285.532,20715.747,2798.223,4016.796,False,False,86265,78093,7882,,88,7789,86,68,148,154,85,84,375
5,1000,3,16,784,40630.337,60251.842,19621.507,2539.396,3765.740,False,False,77135,72187,4605,,104,4497,67,81,162,159,81,79,371
5,1000,4,16,719,47290.336,66378.646,19088.313,2955.646,4148.665,False,False,77067,70037,6750,,96,6649,69,70,143,180,63,80,395
5,1000,5,17,768,49070.620,70150.214,21079.594,2886.507,4126.483,False,False,82563,75561,5699,,103,5591,84,77,159,163,64,73,380
5,1000,6,16,748,46773.091,66425.608,19652.518,2923.318,4151.601,False,False,83641,75373,7928,,122,7801,74,83,142,149,81,90,381
5,1000,7,17,825,45476.367,66360.661,20884.295,2675.080,3903.568,False,False,85011,77972,5708,,125,5579,85,77,162,150,81,72,373
5,1000,8,16,759,45134.109,64552.453,19418.345,2820.882,4034.528,False,False,81896,73816,6788,,107,6676,69,72,145,146,85,74,409
5,1000,9,17,805,46456.783,66418.749,19961.967,2732.752,3906.985,False,False,84289,76092,7872,,96,7772,69,73,161,144,81,78,394
5,1000,10,17,811,44552.403,65100.021,20547.617,2620.730,3829.413,False,False,83785,75607,6828,,131,6692,81,73,159,159,81,73,374
